id,paragraph
1,"age inflation as well as the inflation and output gap terms appearing in (8.44). Wage stability is desirable because it eliminates dispersion of hours worked across households. With two distortions—sticky prices and sticky wages—the single instrument of monetary policy cannot simultaneously o¤set both distortions. With sticky prices but flexible wages, the real wage can adjust e‰ciently in the face of productivity shocks, and monetary policy should maintain price stability. With sticky wages and flexible prices, the real wage can still adjust e‰ciently to ensure that labor market equilibrium is maintained in the face of productivity shocks, and monetary policy should maintain nominal wage stability. If both wages and prices are sticky, a policy that stabilizes either prices or wages will not allow the real wage to move so as to keep output equal to the flexible-price output. Productivity shocks will lead to movements in the output gap, and the monetary authority will be forced to trade o¤ stabilizing inflation, wage inflation, and the output gap. Galí, Gertler, and López-Salido (2002) defined the ine‰ciency gap as the gap between the household’s marginal rate of substitution between leisure and consumption (mrst) and the marginal product of labor (mplt). This ine‰ciency gap can be divided 356 8 New Keynesian Monetary Economics into two parts: the wedge between the real wage and the marginal rate of substitution, labeled the wage markup, and the wedge between the real wage and the marginal product of labor, labeled the price markup. Based on U.S. data, they concluded that the wage markup accounts for most of the time series variation in the ine‰ciency gap. Levin et al. (2006) estimated a new Keynesian general equilibrium model with both price and wage stickiness. They found that the welfare costs of nominal rigidity are primarily generated by wage stickiness rather than by price stickiness. This finding is consistent with Christiano, Eichenbaum, and Evans (2005), who concluded that a model with flexible prices and sticky wages does better at fitting impulse responses estimated on U.S. data than a sticky price–flexible wage version of their model. Sbordone (2001) also suggested that nominal wage rigidity is more important empirically than price rigidity. Huang and Liu (2002) argued that wage stickiness is more important than price stickiness for generating output persistence. In contrast, Goodfriend and King (2001) argued that the long-term nature of employment relationships reduces the e¤ects of nominal wage rigidity on real resource allocations. Models that incorporate the intertemporal nature of employment relationships based on search and matching models of unemployment include Walsh (2003a; 2005b); Trigari (2009); Krause, López-Salido, and Lubik (2007); Thomas (2008); Ravenna and Walsh (2008); and Sala, Söderström, and Trigari (2008)."
2,"Commitment A central bank able to precommit chooses a path for current and future inflation and the output gap to minimize the loss function (8.45) subject to the expectational IS curve (8.40) and the inflation adjustment equation (8.41). Let ytþi and ctþi denote the Lagrangian multipliers associated with the period t þ i IS curve and the inflation adjustment equation. The central bank’s objective is to pick itþi, ptþi, and xtþi to minimize Et Xy i1⁄40 bi 1 2 ðp2 tþi þ lx2 tþiÞ þ ytþi1⁄2xtþi xtþiþ1 þ s1 ðitþi ptþiþ1Þ utþi þ ctþiðptþi bptþiþ1 kxtþi etþiÞ. The first-order condition for itþi takes the form s1 EtðytþiÞ 1⁄4 0; i b 0: Hence, Etytþi 1⁄4 0 for all i b 0. This result implies that (8.40) imposes no real constraint on the central bank as long as there are no restrictions on, or costs associated with, varying the nominal interest rate. Given the central bank’s optimal choices for the output gap and inflation, (8.40) will simply determine the setting for it necessary to achieve the desired value of xt. For that reason, it is often more convenient to treat xt as if it were the central bank’s policy instrument."
3,"Setting Etytþi 1⁄4 0, the remaining first-order conditions for ptþi and xtþi can be written as pt þ ct 1⁄4 0 ð8:46Þ Etðptþi þ ctþi ctþi1Þ 1⁄4 0; i b 1 ð8:47Þ Etðlxtþi kctþiÞ 1⁄4 0; i b 0: ð8:48Þ Equations (8.46) and (8.47) reveal the dynamic inconsistency that characterizes the optimal precommitment policy. At time t, the central bank sets pt 1⁄4 ct and promises to set ptþ1 1⁄4 ðctþ1 ctÞ. But when period t þ 1 arrives, a central bank that reoptimizes will again obtain ptþ1 1⁄4 ctþ1 as its optimal setting for inflation. That is, the first-order condition (8.46) updated to t þ 1 will reappear."
4,"The solution to this expectational di¤erence equation for xt will be of the form xt 1⁄4 axxt1 þ bxet. To determine the coe‰cients ax and bx, note that if et 1⁄4 ret1 þ et, the proposed solution implies Etxtþ1 1⁄4 axxt þ bxret 1⁄4 a2 xxt1 þ ðax þ rÞbxet. Substituting this into (8.50) and equating coe‰cients, the parameter ax is the solution less than 1 of the quadratic equation ba2 x 1 þ b þ k2 l ax þ 1 1⁄4 0; and bx is given by bx 1⁄4 k l1⁄21 þ bð1 r axÞ þ k2. From (8.49), equilibrium inflation under the timeless perspective policy is pt 1⁄4 l k ð1 axÞxt1 þ l l1⁄21 þ bð1 r axÞ þ k2 et. Woodford (2003b) stressed that even if r 1⁄4 0, so that there is no natural source of persistence in the model itself, ax > 0 and the precommitment policy introduces inertia into the output gap and inflation processes. Because the central bank responds to the lagged output gap (see (8.49)), past movements in the gap continue to a¤ect current inflation. This commitment to inertia implies that the central bank’s actions at date t allow it to influence expected future inflation. Doing so leads to a better tradeo¤ between gap and inflation variability than would arise if policy did not react to the lagged gap. Equation (8.41) implies that the inflation impact of a positive cost shock, for example, can be stabilized at a lower output cost if the central bank can induce a fall in expected future inflation. Such a fall in expected inflation is achieved when the central bank follows (8.49)."
5,"o set ptþ1 1⁄4 ðctþ1 ctÞ. But when period t þ 1 arrives, a central bank that reoptimizes will again obtain ptþ1 1⁄4 ctþ1 as its optimal setting for inflation. That is, the first-order condition (8.46) updated to t þ 1 will reappear."
6,"An alternative definition of an optimal precommitment policy requires that the central bank implement conditions (8.47) and (8.48) for all periods, including the current period. Woodford (2003a; 2003b) has labeled this the timeless perspective approach to precommitment. One can think of such a policy as having been chosen in the distant past, and the current values of the inflation rate and output gap are the values chosen from that earlier perspective to satisfy the two conditions (8.47) and (8.48). McCallum and Nelson (2000b) provided further discussion of the timeless perspective and argued that this approach agrees with the one commonly used in many studies of precommitment policies."
7,"Combining (8.47) and (8.48), under the timeless perspective optimal commitment policy inflation and the output gap satisfy ptþi 1⁄4 l k ðxtþi xtþi1Þ ð8:49Þ for all i b 0. Using this equation to eliminate inflation from (8.41) and rearranging, one obtains 1 þ b þ k2 l xt 1⁄4 bEtxtþ1 þ xt1 k l et: ð8:50Þ The solution to this expectational di¤erence equation for xt will be of the form xt 1⁄4 axxt1 þ bxet. To determine the coe‰cients ax and bx, note that if et 1⁄4 ret1 þ et, the proposed solution implies Etxtþ1 1⁄4 axxt þ bxret 1⁄4 a2 xxt1 þ ðax þ rÞbxet. Substituting this into (8.50) and equating coe‰cients, the parameter ax is the solution less than 1 of the quadratic equation ba2 x 1 þ b þ k2 l ax þ 1 1⁄4 0; and bx is given by bx 1⁄4 k l1⁄21 þ bð1 r axÞ þ k2 : From (8.49), equilibrium inflation under the timeless perspective policy is pt 1⁄4 l k ð1 axÞxt1 þ l l1⁄21 þ bð1 r axÞ þ k2 et: ð8:51Þ Woodford (2003b) stressed that even if r 1⁄4 0, so that there is no natural source of persistence in the model itself, ax > 0 and the precommitment policy introduces inertia into the output gap and inflation processes. Because the central bank responds to 8.4 Monetary Policy Analysis in New Keynesian Models 359 the lagged output gap (see (8.49)), past movements in the gap continue to a¤ect current inflation. This commitment to inertia implies that the central bank’s actions at date t allow it to influence expected future inflation. Doing so leads to a better tradeo¤ between gap and inflation variability than would arise if policy did not react to the lagged gap. Equation (8.41) implies that the inflation impact of a positive cost shock, for example, can be stabilized at a lower output cost if the central bank can induce a fall in expected future inflation. Such a fall in expected inflation is achieved when the central bank follows (8.49)."
8,"A condition for policy such as (8.49) that is derived from the central bank’s first-order conditions and only involves variables that appear in the objective function (in this case, inflation and the output gap) is generally called a targeting rule (e.g., Svensson and Woodford 2005). It represents a relationship among the targeted variables that the central bank should maintain, because doing so is consistent with the first-order conditions from its policy problem."
9,"Because the timeless perspective commitment policy is not the solution to the policy problem under optimal commitment, the policy rule given by (8.49) may be dominated by other policy rules. For instance, it may be dominated by the optimal discretion policy (see next section). Under the timeless perspective, inflation as given by (8.49) is the same function each period of the current and lagged output gap; the policy displays the property of continuation in the sense that the policy implemented in any period continues the plan to which it was optimal to commit in an earlier period. Blake (2001); Damjanovic, Damjanovic, and Nolan (2008); and C. Jensen and McCallum (2008) considered optimal continuation policies that require that the policy instrument, in this case xt, be a time-invariant function, as under the timeless perspective, but rather than ignoring the first-period conditions, as is done under the timeless perspective, they focused on the optimal unconditional continuation policy to which the central bank should commit. This policy minimizes the unconditional expectation of the objective function, so that the Lagrangian for the policy problem becomes E~L 1⁄4 E~ ( Et Xy i1⁄40 bi 1 2 ðp2 tþi þ lx2 tþi Þ þ ytþiðptþi bEtptþiþ1 kxtþi etþiÞ ); where E denotes the unconditional expectations operator. Because ~ EE~ tytþiptþiþ1 1⁄4 E~yt1pt; the unconditional Lagrangian can be expressed as E~L 1⁄4 1 1 b E~ 1 2 ðp2 t þ lx2 t Þ þ ytpt byt1pt kytxt ytet :"
10,"The first-order conditions then become pt þ yt byt1 1⁄4 0 ð8:52Þ lxt kyt 1⁄4 0: Combining these to eliminate the Lagrangian multiplier yields the optimal unconditional continuation policy: pt 1⁄4 l k ðxtþi bxtþi1Þ: ð8:53Þ Comparing this to (8.49) shows that rather than giving full weight to past output gaps, the optimal unconditional continuation policy discounts the past slightly (recall bA0:99)."
