id,paragraph
1,"o cares about the cost of the contract.
35. This argument is made by Canzoneri, Nolan, and Yates (1997).
304 7 Discretionary Policy and Time Inconsistency
commitment policy. If the penalty cannot be made state-contingent, then average inflation can be eliminated, but inflation will remain too volatile. For example, Walsh
(1995b), Canzoneri, Nolan, and Yates (1997), and Herrendorf and Lockwood (1997)
introduced a state-contingent bias by modifying the basic model structure. Walsh
assumed that there exists a flexible wage sector in addition to a nominal wage contract sector. Herrendorf and Lockwood assumed that labor market participants can
observe a signal that reveals information about aggregate supply shocks prior to
forming nominal wage contracts. Canzoneri, Nolan, and Yates assumed that the central bank has an interest rate–smoothing objective. Herrendorf and Lockwood (1997)
and Muscatelli (1998) showed that when the inflation bias is state-contingent rather
than constant, as in the Barro-Gordon model, there can be a role for a linear inflation contract, as in Walsh (1995c), and a conservative central banker, as in Rogo¤
(1985b). Schellekens (2002) considered delegation to a central bank with preferences
that are generalized from the standard quadratic form. He examined the connection
between optimal conservatism and cautionary policy arising from model uncertainty.
Chortareas and Miller (2003) showed that the linear inflation contract would not
fully o¤set the inflation bias when the government cares about the cost of the contract, costs that were ignored by Walsh (1995c).36 However, as Chortareas and
Miller (2007) demonstrated, the original linear inflation contract remains optimal
if the government must ensure that the central bank’s participation constraint is satisfied, even when the government also cares about the costs of the contract. Intuitively, with a linear inflation contract of the form a þ bp, the government can
always set b to generate the correct incentives for the central bank (since the value
of the constant term a does not alter the first-order conditions of the central bank’s
optimality conditions). Then a can be set to minimize the cost of the contract to the
government, where this minimum cost is determined by the central bank’s outside
opportunity."
2,"benefits of a surprise inflation are larger, leading to a higher
average inflation rate under discretionary policy. The bias at time t, though, will
36. See also Candel-Sa ́nchez and Campoy-Min ̃arroy (2004).
7.3 Solutions to the Inflation Bias 305
depend on the unemployment rate at t 1, since, with persistence, unemployment at
t 1 a¤ects the average unemployment rate expected for period t. Therefore, the inflation bias will be time-varying. The simple linear contract with a fixed weight on
inflation will no longer be optimal if the inflation bias is state-dependent. However,
a state-contingent contract can support the optimal commitment policy.
Like the Rogo¤ conservative central banker solution, the contracting solution relocates the commitment problem that gives rise to the inflation bias in the first place.37
H. Jensen (1997) showed how the ability of an incentive contract for the central
banker to solve an inflation bias is weakened when the government can undo the
contract ex post. In the case of a conservative central banker, the proposed solution
assumes that the government cannot commit to a specific inflation policy but can
commit to the appointment of an agent with specific preferences. In the contracting
case, the government is assumed to be able to commit to a specific contract. Both of
these assumptions are plausible; relocating the commitment problem is often a means
of solving the problem. Confirmation processes, together with long terms of o‰ce,
can reveal the appointee’s preferences and ensure that policy is actually conducted
by the appointed agent. Incentives called for in the contracting approach can similarly be
thought of as aspects of the institutional structure and may therefore be
more di‰cult to change than actual policy instrument settings."
3,"gning an infla37. McCallum (1995; 1997c) emphasized the relocation issue with respect to the contracting approach. A
similar criticism applies to the conservative central banker solution.
38. See also Herrendorf (1995; 1998), who developed a similar point using inflation targeting, and Walsh
(2002), who showed that the government will find it advantageous to carry out a dismissal rule policy
under which the central banker is fired if inflation exceeds a critical level.
306 7 Discretionary Policy and Time Inconsistency
ation target to the central bank may also replicate the optimal incentives called for
under the linear inflation contract (Svensson 1997b).
Dixit and Jensen (2001) extended the contracting approach to the case of a monetary union in which member governments o¤er the common central bank incentive
contracts designed to influence monetary policy. They showed that if the central
bank cares about the incentives it receives and about the unionwide inflation rate,
the central bank implements a policy that leads to average inflation that is too low
and stable. The central bank implements a weighted average of each member country’s
desired policy only if the central bank cares only about the contract incentives.
Hence, mandating that the central bank achieve price stability would result in a
deflationary bias under discretion."
4,"Athey, Chari, and Kehoe (2005) reexamined the optimal delegation of monetary
policy by employing mechanism design theory in an environment similar to the one
studied originally by Canzoneri (1985) in which the central bank has private information. They showed that under certain conditions, the optimal scheme involves an
inflation cap—a maximum inflation rate the central bank is allowed to choose. The
greater the time inconsistency problem, the lower is the cap. If the central bank has
little private information, then the optimal design calls for giving no discretion to the
central bank.
7.3.4 Institutions
One interpretation of the contracting approach is that the incentive structures might
be embedded in the institutional structure of the central bank. If institutions are
costly to change, then institutional reforms designed to raise the costs of inflation
can serve as commitment devices. Incorporating a price stability objective directly
into the central bank’s charter legislation, for example, might raise the implicit penalty (in terms of institutional embarrassment) the central bank would su¤er if it failed
to control inflation. Most discussions of the role of institutional structure and inflation have, however, focused on the e¤ects of alternative structures on the extent to
which political pressures a¤ect the conduct of monetary policy."
5,"ich party wins the election. Let the parties be denoted A and B. The inflation rate expected if party A wins the election is pA; inflation under party B will be pB. Assume pA > pB. If the probability that party A wins the election is q, then expected inflation prior to the election will be pe 1⁄4 qpA þ 39. For a discussion of this model, see Alesina (1987); Alesina and Sachs (1988); Alesina and Roubini (1992; 1997); and Drazen (2000). 7.3 Solutions to the Inflation Bias 307 ð1 qÞpB. Since q is between 0 and 1, expected inflation falls in the interval 1⁄2pB; pA. If postelection output is equal to y 1⁄4 aðp pe Þ, where p is actual inflation, then the election of party A will generate an economic expansion (since pA pe 1⁄4 ð1 qÞðpA pBÞ > 0), whereas the election of party B will lead to an economic contraction ðpB pe 1⁄4 qðpB pAÞ < 0Þ. This very simple framework provides an explanation for a political business cycle that arises because of policy di¤erences between parties and electoral uncertainty. Because parties are assumed to exploit monetary policy to get their desired inflation rate, and because election outcomes cannot be predicted with certainty, inflation surprises will occur after an election. Alesina and Sachs (1988) provided evidence for this theory based on U.S. data, and Alesina and Roubini (1992) examined OECD countries. Faust and Irons (1996), however, concluded that there is little evidence from the United States to support the hypothesis that political e¤ects generate monetary policy surprises."
6,"Waller (1989; 1992) showed how the process used to appoint members of the central bank’s policy board can influence the degree to which partisan political factors are translated into monetary policy outcomes. If policy is set by a board whose members serve overlapping but noncoincident terms, the e¤ect of policy shifts resulting from changes in government is reduced. In a two-party system in which nominees forwarded by the party in power are subject to confirmation by the out-of-power party, the party in power will nominate increasingly moderate candidates as elections near. Increasing the length of terms of o‰ce for central bank board members also reduces the role of partisanship in monetary policy making.40 Waller and Walsh (1996) considered a partisan model of monetary policy. They focused on the implications for output of the degree of partisanship in the appointment process and the term length of the central banker. Similarly, Alesina and Gatti (1995) showed that electorally induced business cycles can be reduced if political parties jointly appoint the central banker."
7,"utional e¤ects. If monetary policy is set by majority vote, excessive inflation results as the (larger) young generation attempts to transfer wealth from the old generation. If policy is delegated 40. See also Havrilesky and Gildea (1992) and Garcia de Paso (1994). For some empirical evidence in support of these models, see Mixon and Gibson (2002). 41. Havrilesky and Gildea (1991; 1995) argued that the voting behavior of regional bank presidents and board governors di¤ers, with regional bank presidents tending to be tougher on inflation; this conclusion was disputed by Tootell (1991). 308 7 Discretionary Policy and Time Inconsistency to a board consisting of one representative from the young generation and one from the old, the inflationary bias is eliminated. Faust argued that the structure of the FOMC takes its shape because of the advantages of delegating to a board in which the relative balance of di¤ferent political constituencies di¤ers from that of the voting public as a whole."
8,"Who makes policy and who appoints the policymakers can a¤ect policy outcomes, but institutional design also includes mechanisms for accountability, and these can a¤ect policy as well. Minford (1995), in fact, argued that democratic elections can enforce low-inflation outcomes if voters punish governments that succumb to the temptation to inflate, and Lippi (1997) developed a model in which rational voters choose a weight-conservative central banker. O’Flaherty (1990) showed how finite term lengths can ensure accountability, and Walsh (1995b) showed that the type of dismissal rule incorporated into New Zealand’s Reserve Bank Act of 1989 can partially mimic an optimal contract."
9,"The launch of the European Central Bank in 2000 helped to focus attention on the role institutions and their formal structure play in a¤ecting policy outcomes. Because the individual member countries in a monetary union may face di¤erent economic conditions, disagreements about the common central bank’s policies may arise. Dixit (2000) used a principal agent approach to study policy determination in a monetary union. With a single central bank determining monetary policy for a union of countries, the central bank is the agent of many principals. Each principal may try to influence policy outcomes, and the central bank may need to appease its principals to avoid noncooperative outcomes."
10,"Dixit showed that the central bank’s decision problem must take into account the individual incentive compatibility constraints that require all principals to accept a continuation of the policy the central bank chooses. For example, if one country has an large adverse shock, the central bank may have to raise inflation above the optimal commitment level to ensure the continued participation in the union of the a¤ected country. When the incentive constraint binds, policy will diverge from the full-commitment case in order to secure the continued participation of the union members. Dixit showed that when countries are hit by di¤erent shocks, it is the incentive constraint of the worst-hit country that is binding—policy must shade toward what that country would want. If the costs of overturning the central bank’s policy (and thereby reverting to the discretionary equilibrium) are high enough, there will be some range of asymmetric shocks within which it is possible to sustain the fullcommitment policy."
