id,paragraph
1,"t most economists also believe that monetary disturbances can have important e¤ects on real variables such as output in the short run.9 As Lucas (1996) put it in his Nobel lecture, ‘‘This tension between two incompatible ideas—that changes in money are neutral unit changes and that they induce movements in employment and production in the same direction—has been at the center of monetary theory at least since Hume wrote’’ (664).10 The time series correlations presented in the previous section suggest the short-run relationships between money and income, but the evidence for the e¤ects of money on real output is based on more than these simple correlations. The tools that have been employed to estimate the impact of monetary policy have evolved over time as the result of developments in time series econometrics and changes in the specific questions posed by theoretical models. This section reviews some of the empirical evidence on the relationship between monetary policy and U.S. macroeconomic behavior. One objective of this literature has been to determine whether monetary policy disturbances actually have played an important role in U.S. economic fluctuations. Equally important, the empirical evidence is useful in judging whether the predictions of di¤erent theories about the e¤ects of monetary policy are consistent with the evidence. Among the excellent recent discussions of these issues are Leeper, Sims, and Zha (1996) and Christiano, Eichenbaum, and Evans (1999), where the focus is on the role of identified VARs in estimating the e¤ects of monetary policy, and R. King and Watson (1996), where the focus is on using empirical evidence to distinguish among competing business-cycle models."
2,"The inference Friedman and Schwartz drew was that variations in money growth rates cause, with a long (and variable) lag, variations in real economic activity. The nature of this evidence for the United States is apparent in figure 1.6, which shows two detrended money supply measures and real GDP. The monetary aggregates in the figure, M1 and M2, are quarterly observations on the deviations of the actual series from trend. The sample period is 1967:1–2008:2, so that is after the period of the Friedman and Schwartz study. The figure reveals slowdowns in money leading most business cycle downturns through the early 1980s. However, the pattern is not so apparent after 1982. B. Friedman and Kuttner (1992) documented the seeming breakdown in the relationship between monetary aggregates and real output; this changing relationship between money and output has a¤ected the manner in which monetary policy has been conducted, at least in the United States (see chapter 11). While it is suggestive, evidence based on timing patterns and simple correlations may not indicate the true causal role of money. Since the Federal Reserve and the banking sector respond to economic developments, movements in the monetary aggregates are not exogenous, and the correlation patterns need not reflect any causal e¤ect of monetary policy on economic activity. If, for example, the central bank is implementing monetary policy by controlling the value of some short-term market interest rate, the nominal stock of money will be a¤ected both by policy actions that change interest rates and by developments in the economy that are not related to policy actions. An economic expansion may lead banks to expand lending in ways that produce an increase in the stock of money, even if the central bank has not changed its policy. If the money stock is used to measure monetary policy, the relationship observed in the data between money and output may reflect the impact of output on money, not the impact of money and monetary policy on output."
3,"Tobin (1970) was the first to model formally the idea that the positive correlation between money and output—the correlation that Friedman and Schwartz interpreted as providing evidence that money caused output movements—could in fact reflect just the opposite—output might be causing money. A more modern treatment of what is known as the reverse causation argument was provided by R. King and Plosser (1984). They show that inside money, the component of a monetary aggregate such as M1 that represents the liabilities of the banking sector, is more highly correlated with output movements in the United States than is outside money, the liabilities of the Federal Reserve. King and Plosser interpreted this finding as evidence that much of the correlation between broad aggregates such as M1 or M2 and output arises from the endogenous response of the banking sector to economic disturbances that are not the result of monetary policy actions. More recently, Coleman (1996), in an estimated equilibrium model with endogenous money, found that the implied behavior of money in the model cannot match the lead-lag relationship in the data. Specifically, a money supply measure such as M2 leads output, whereas Coleman found that his model implies that money should be more highly correlated with lagged output than with future output."
4,"The endogeneity problem is likely to be particularly severe if the monetary authority has employed a short-term interest rate as its main policy instrument, and this has generally been the case in the United States. Changes in the money stock will then be endogenous and cannot be interpreted as representing policy actions. Figure 1.7 shows the behavior of two short-term nominal interest rates, the 3-month Treasury bill rate (3MTB) and the federal funds rate, together with detrended real GDP. Like figure 1.6, figure 1.7 provides some support for the notion that monetary policy actions have contributed to U.S. business cycles. Interest rates have typically increased prior to economic downturns. But whether this is evidence that monetary policy has caused or contributed to cyclical fluctuations cannot be inferred from the figure; the movements in interest rates may simply reflect the Fed’s response to the state of the economy. Simple plots and correlations are suggestive, but they cannot be decisive. Other factors may be the cause of the joint movements of output, monetary aggregates, and interest rates. The comparison with business cycle reference points also ignores much of the information about the time series behavior of money, output, and interest rates that could be used to determine what impact, if any, monetary policy has on output. And the appropriate variable to use as a measure of monetary policy will depend on how policy has been implemented."
5,"ult of monetary policy actions. More recently, Coleman (1996), in an estimated equilibrium model with endogenous money, found that the implied behavior of money in the model cannot match the lead-lag relationship in the data. Specifically, a money supply measure such as M2 leads output, whereas Coleman found that his model implies that money should be more highly correlated with lagged output than with future output.11 The endogeneity problem is likely to be particularly severe if the monetary authority has employed a short-term interest rate as its main policy instrument, and this has generally been the case in the United States. Changes in the money stock will then be endogenous and cannot be interpreted as representing policy actions. Figure 1.7 shows the behavior of two short-term nominal interest rates, the 3-month Treasury bill rate (3MTB) and the federal funds rate, together with detrended real GDP. Like figure 1.6, figure 1.7 provides some support for the notion that monetary policy actions have contributed to U.S. business cycles. Interest rates have typically increased prior to economic downturns. But whether this is evidence that monetary policy has caused or contributed to cyclical fluctuations cannot be inferred from the figure; the movements in interest rates may simply reflect the Fed’s response to the state of the economy."
6,"Simple plots and correlations are suggestive, but they cannot be decisive. Other factors may be the cause of the joint movements of output, monetary aggregates, and interest rates. The comparison with business cycle reference points also ignores much of the information about the time series behavior of money, output, and interest rates that could be used to determine what impact, if any, monetary policy has on output. And the appropriate variable to use as a measure of monetary policy will depend on how policy has been implemented. One of the earliest time series econometric attempts to estimate the impact of money was due to M. Friedman and Meiselman (1963). Their objective was to test whether monetary or fiscal policy was more important for the determination of nominal income. To address this issue, they estimated the following equation:12 yn t 1 yt þ pt 1⁄4 yn 0 þX i1⁄40 aiAti þX i1⁄40 bimti þX i1⁄40 hizti þ ut; ð1:1Þ where yn denotes the log of nominal income, equal to the sum of the logs of output and the price level, A is a measure of autonomous expenditures, and m is a monetary aggregate; z can be thought of as a vector of other variables relevant for explaining nominal income fluctuations."
7,"Friedman and Meiselman reported finding a much more stable and statistically significant relationship between output and money than between output and their measure of autonomous expenditures. In general, they could not reject the hypothesis that the ai coe‰cients were zero, while the bi coe‰cients were always statistically significant. The use of equations such as (1.1) for policy analysis was promoted by a number of economists at the Federal Reserve Bank of St. Louis, so regressions of nominal income on money are often called St. Louis equations (see L. Andersen and Jordon 1968; B. Friedman 1977a; Carlson 1978). Because the dependent variable is nominal income, the St. Louis approach does not address directly the question of how a money-induced change in nominal spending is split between a change in real output and a change in the price level. The impact of money on nominal income was estimated to be quite strong, and Andersen and Jordon (1968, 22) concluded, ‘Finding of a strong empirical relationship between economic activity and . . . monetary actions points to the conclusion that monetary actions can and should play a more prominent role in economic stabilization than they have up to now.’13"
8,"This is not exactly correct; because Friedman and Meiselman included ‘autonomous’ expenditures as an explanatory variable, they also used consumption as the dependent variable (basically, output minus autonomous expenditures). They also reported results for real variables as well as nominal ones. Following modern practice, (1.1) is expressed in terms of logs; Friedman and Meiselman estimated their equation in levels. B. Friedman (1977a) argued that updated estimates of the St. Louis equation did yield a role for fiscal policy, although the statistical reliability of this finding was questioned by Carlson (1978). Carlson also provided a bibliography listing many of the papers on the St. Louis equation (see his footnote 2, p. 13)."
9,"in policy that altered this correlation would also alter the leastsquares regression estimates one would obtain in estimating (1.1). 1.3.2 Granger Causality The St. Louis equation related nominal output to the past behavior of money. Similar regressions employing real output have also been used to investigate the connection between real economic activity and money. In an important contribution, Sims (1972) introduced the notion of Granger causality into the debate over the real e¤ects of money. A variable X is said to Granger-cause Y if and only if lagged values of X have marginal predictive content in a forecasting equation for Y. In practice, testing whether money Granger-causes output involves testing whether the ai coe‰cients equal zero in a regression of the form yt 1⁄4 y0 þX i1⁄41 aimti þX i1⁄41 biyti þX i1⁄41 cizti þ et; ð1:2Þ where key issues involve the treatment of trends in output and money, the choice of lag lengths, and the set of other variables (represented by z) that are included in the equation."
10,"Sims’s original work used log levels of U.S. nominal GNP and money (both M1 and the monetary base). He found evidence that money Granger-caused GNP. That is, the past behavior of money helped to predict future GNP. However, using the index of industrial production to measure real output, Sims (1980) found that the fraction of output variation explained by money was greatly reduced when a nominal interest rate was added to the equation (so that z consists of the log price level and an interest rate). Thus, the conclusion seemed sensitive to the specification of z. Eichenbaum and Singleton (1987) found that money appeared to be less important if the regressions were specified in log first di¤erence form rather than in log levels with a time trend. Stock and Watson (1989) provided a systematic treatment of the trend specification in testing whether money Granger-causes real output. They concluded that money does help to predict future output (they actually used industrial production) even when prices and an interest rate are included."
