Date,Percent,SimScoreIndex,Cutoff,NodeCount,RelCount,Sum,Change_rate
202201,Sim_5%,41,0.6751892825138626,144,169,313,0.0
202201,Sim_6%,41,0.6697132865924078,166,191,357,44.0
202201,Sim_7%,41,0.666790636241042,196,228,424,67.0
202201,Sim_8%,41,0.6630184290661049,208,243,451,27.0
202201,Sim_9%,41,0.6603541916503437,216,252,468,17.0
202201,Sim_10%,41,0.6580624873649786,236,272,508,40.0
202201,Sim_11%,41,0.6560356014761253,256,294,550,42.0
202201,Sim_12%,41,0.6531788039730347,275,313,588,38.0
202201,Sim_13%,41,0.6498245965748691,297,333,630,42.0
202201,Sim_14%,41,0.6474917187583221,323,361,684,54.0
202201,Sim_15%,41,0.6443625541109735,340,401,741,57.0
202201,Sim_16%,41,0.642035307428268,358,428,786,45.0
202201,Sim_17%,41,0.6392625514110702,375,458,833,47.0
202201,Sim_18%,41,0.6382380930428289,398,484,882,49.0
202201,Sim_19%,41,0.6363963268572979,430,524,954,72.0
202201,Sim_20%,41,0.6350953827530312,442,541,983,29.0
202203,Sim_5%,42,0.665695987651334,265,359,624,0.0
202203,Sim_6%,42,0.6630493372625594,317,416,733,109.0
202203,Sim_7%,42,0.6598081775136576,348,464,812,79.0
202203,Sim_8%,42,0.6580106614176886,394,518,912,100.0
202203,Sim_9%,42,0.6539528633453628,419,552,971,59.0
202203,Sim_10%,42,0.6502035815395325,458,610,1068,97.0
202203,Sim_11%,42,0.6460286784937476,478,632,1110,42.0
202203,Sim_12%,42,0.6441250825747957,513,674,1187,77.0
202203,Sim_13%,42,0.6418890750612234,535,711,1246,59.0
202203,Sim_14%,42,0.639216024759152,555,739,1294,48.0
202203,Sim_15%,42,0.6374979022433267,603,810,1413,119.0
202203,Sim_16%,42,0.6358135811664867,634,846,1480,67.0
202203,Sim_17%,42,0.6337338632844933,665,887,1552,72.0
202203,Sim_18%,42,0.6315942857695327,701,931,1632,80.0
202203,Sim_19%,42,0.6302767740321163,721,961,1682,50.0
202203,Sim_20%,42,0.627186285260079,764,1004,1768,86.0
202205,Sim_5%,43,0.6877513118267842,356,466,822,0.0
