id,paragraph
1,"The History of the Modern Phillips Curve Second, the modern Phillips curve includes expected inflation. This addition is due to the work of Milton Friedman and Edmund Phelps. In developing early versions of the imperfect-information model in the 1960s, these two economists emphasized the importance of expectations for aggregate supply."
2,"Third, the modern Phillips curve includes supply shocks. Credit for this addition goes to OPEC, the Organization of the Petroleum Exporting Countries. In the 1970s OPEC caused large increases in the world price of oil, which made economists more aware of the importance of shocks to aggregate supply."
3,"FYI 7A. W. Phillips, “The Relationship Between Unemployment and the Rate of Change of Money Wages in the United Kingdom, 1861–1957,” Economica 25 (November 1958): 283–299. CHAPTER 14 Aggregate Supply and the Short-Run Tradeoff Between Inflation and Unemployment | 421 money ever less valuable? Perhaps it is simply that we have inflation because we expect inflation, and we expect inflation because we’ve had it.”"
4,"In the model of aggregate supply and aggregate demand, inflation inertia is interpreted as persistent upward shifts in both the aggregate supply curve and the aggregate demand curve. First, consider aggregate supply. If prices have been rising quickly, people will expect them to continue to rise quickly. Because the position of the short-run aggregate supply curve depends on the expected price level, the short-run aggregate supply curve will shift upward over time. It will continue to shift upward until some event, such as a recession or a supply shock, changes inflation and thereby changes expectations of inflation."
5,"The aggregate demand curve must also shift upward to confirm the expectations of inflation. Most often, the continued rise in aggregate demand is due to persistent growth in the money supply. If the Fed suddenly halted money growth, aggregate demand would stabilize, and the upward shift in aggregate supply would cause a recession. The high unemployment in the recession would reduce inflation and expected inflation, causing inflation inertia to subside."
6,"Two Causes of Rising and Falling Inflation The second and third terms in the Phillips curve equation show the two forces that can change the rate of inflation. The second term, b(u – u n), shows that cyclical unemployment—the deviation of unemployment from its natural rate—exerts upward or downward pressure on inflation. Low unemployment pulls the inflation rate up. This is called demand-pull inflation because high aggregate demand is responsible for this type of inflation. High unemployment pulls the inflation rate down. The parameter b measures how responsive inflation is to cyclical unemployment."
7,"The third term, v, shows that inflation also rises and falls because of supply shocks. An adverse supply shock, such as the rise in world oil prices in the 1970s, implies a positive value of v and causes inflation to rise. This is called cost-push inflation because adverse supply shocks are typically events that push up the costs of production. A beneficial supply shock, such as the oil glut that led to a fall in oil prices in the 1980s, makes v negative and causes inflation to fall."
8,"CASE STUDY Inflation and Unemployment in the United States Because inflation and unemployment are such important measures of economic performance, macroeconomic developments are often viewed through the lens of the Phillips curve. Figure 14-3 displays the history of inflation and unemployment in the United States from 1960 to 2013. These data, spanning more than half a century, illustrate some of the causes of rising or falling inflation."
9,"late 1960s largely as a by-product of government spending for the Vietnam War. Unemployment fell lower and inflation rose higher than policymakers intended. The 1970s were a period of economic turmoil. The decade began with policymakers trying to lower the inflation inherited from the 1960s. President Nixon imposed temporary controls on wages and prices, and the Federal Reserve engineered a recession through contractionary monetary policy, but the inflation rate fell only slightly. The effects of wage and price controls ended when the controls were lifted, and the recession was too small to counteract the inflationary impact of the boom that had preceded it. By 1972 the unemployment rate was the same as a decade earlier, while inflation was about 3 percentage points higher."
10,"Beginning in 1973 policymakers had to cope with the large supply shocks caused by OPEC. OPEC first raised oil prices in the mid-1970s, pushing the inflation rate above 9 percent. This adverse supply shock, together with temporarily tight monetary policy, led to a recession in 1975. High unemployment during the recession reduced inflation somewhat, but further OPEC price hikes pushed inflation up again in the late 1970s."
11,"The 1980s began with high inflation and high expectations of inflation. Under the leadership of Chairman Paul Volcker, the Federal Reserve doggedly pursued monetary policies aimed at reducing inflation. In 1982 and 1983 the unemployment rate reached its highest level in 40 years. High unemployment, aided by a fall in oil prices in 1986, pulled the inflation rate down from about 9 percent to about 2 percent. By 1987 the unemployment rate of about 6 percent was close to most estimates of the natural rate. Unemployment continued to fall through the 1980s, however, reaching a low of 5.3 percent in 1989 and beginning a new round of demand-pull inflation."
12,"Compared to the preceding 30 years, the 1990s and early 2000s were relatively quiet. The 1990s began with a recession caused by several contractionary shocks to aggregate demand: tight monetary policy, the savings-and-loan crisis, and a fall in consumer confidence coinciding with the Gulf War. The unemployment rate rose to 7.5 percent in 1992, and inflation fell slightly. Unlike in the 1982 recession, unemployment in the 1990 recession was never far above the natural rate, so the effect on inflation was small. Similarly, a recession in 2001 (discussed in Chapter 12) raised unemployment, but the downturn was mild by historical standards, and the impact on inflation was once again slight."
13,"A more severe recession began in 2008. As we discussed in Chapter 12, the cause of this downturn was a financial crisis, leading to a substantial decline in aggregate demand. Unemployment rose significantly in 2009, and the inflation rate fell to low levels, much as the conventional Phillips curve predicts. With unemployment so persistently high, some economists worried that the economy would experience deflation (a negative inflation rate). Yet that did not occur."
14,"One possible explanation is that expectations of inflation remained anchored at around 2 percent, instead of changing as the assumption of adaptive expectations would indicate. That is, the Fed’s recent history had given the central bank enough credibility about its target rate of inflation that expected inflation did not change as quickly as it might have in past episodes."
