id,paragraph
1,"Simplification is a necessary part of building a useful model: any model constructed to be completely realistic would be too complicated for anyone to understand. Yet if models assume away features of the economy that are crucial to the issue at hand, they may lead us to conclusions that do not hold in the real world. Economic modeling therefore requires care and common sense."
2,"The Use of Multiple Models Macroeconomists study many facets of the economy. For example, they examine the role of saving in economic growth, the impact of minimum-wage laws on unemployment, the effect of inflation on interest rates, and the influence of trade policy on the trade balance and exchange rate. Economists use models to address all of these issues, but no single model can answer every question. Just as carpenters use different tools for different tasks, economists use different models to explain different economic phenomena. Students of macroeconomics therefore must keep in mind that there is no single “correct” model that is always applicable. Instead, there are many models, each of which is useful for shedding light on a different facet of the economy. The field of macroeconomics is like a Swiss army knife—a set of complementary but distinct tools that can be applied in different ways in different circumstances."
3,"This book presents many different models that address different questions and make different assumptions. Remember that a model is only as good as its assumptions and that an assumption that is useful for some purposes may be misleading for others. When using a model to address a question, the economist must keep in mind the underlying assumptions and judge whether they are reasonable for studying the matter at hand."
4,"Prices: Flexible Versus Sticky Throughout this book, one group of assumptions will prove especially important— those concerning the speed at which wages and prices adjust to changing economic conditions. Economists normally presume that the price of a good or a service moves quickly to bring quantity supplied and quantity demanded into balance. In other words, they assume that markets are normally in equilibrium, so the price of any good or service is found where the supply and demand curves intersect. This assumption, called market clearing, is central to the model of the pizza market discussed earlier. For answering most questions, economists use market-clearing models."
5,"Yet the assumption of continuous market clearing is not entirely realistic. For markets to clear continuously, prices must adjust instantly to changes in supply and demand. In fact, many wages and prices adjust slowly. Labor contracts often set wages for up to three years. Many firms leave their product prices the same for long periods of time—for example, magazine publishers typically change their newsstand prices only every three or four years. Although market-clearing models assume that all wages and prices are flexible, in the real world some wages and prices are sticky."
6,"The apparent stickiness of prices does not make market-clearing models useless. After all, prices are not stuck forever; eventually, they adjust to changes in supply and demand. Market-clearing models might not describe the economy at every instant, but they do describe the equilibrium toward which the economy gravitates. Therefore, most macroeconomists believe that price flexibility is a good assumption for studying long-run issues, such as the growth in real GDP that we observe from decade to decade."
7,"For studying short-run issues, such as year-to-year fluctuations in real GDP and unemployment, the assumption of price flexibility is less plausible. Over short periods, many prices in the economy are fixed at predetermined levels. Therefore, most macroeconomists believe that price stickiness is a better assumption for studying the short-run behavior of the economy."
8,"Microeconomic Thinking and Macroeconomic Models Microeconomics is the study of how households and firms make decisions and how these decisionmakers interact in the marketplace. A central principle of microeconomics is that households and firms optimize—they do the best they can for themselves given their objectives and the constraints they face. In microeconomic models, households choose their purchases to maximize their level of satisfaction, which economists call utility, and firms make production decisions to maximize their profits."
9,"Because economy-wide events arise from the interaction of many households and firms, macroeconomics and microeconomics are inextricably linked. When we study the economy as a whole, we must consider the decisions of individual economic actors. For example, to understand what determines total consumer spending, we must think about a family deciding how much to spend today and how much to save for the future. To understand what determines total investment spending, we must think about a firm deciding whether to build a new factory. Because aggregate variables are the sum of the variables describing many individual decisions, macroeconomic theory rests on a microeconomic foundation."
10,"Although microeconomic decisions underlie all economic models, in many models the optimizing behavior of households and firms is implicit rather than explicit. The model of the pizza market we discussed earlier is an example. Households’ decisions about how much pizza to buy underlie the demand for pizza, and pizzerias’ decisions about how much pizza to produce underlie the supply of pizza. Presumably, households make their decisions to maximize utility, and pizzerias make their decisions to maximize profit. Yet the model does not focus on how these microeconomic decisions are made; instead, it leaves these decisions in the background. Similarly, although microeconomic decisions underlie macroeconomic phenomena, macroeconomic models do not necessarily focus on the optimizing behavior of households and firms; again, they sometimes leave that behavior in the background."
11,"If you want to learn more about the Nobel Prize and its winners, go to http://www.nobelprize.org.1 1The first five quotations are from William Breit and Barry T. Hirsch, eds., Lives of the Laureates, 4th ed. (Cambridge, MA: MIT Press, 2004). The sixth, seventh, and ninth are from the Nobel Web site. The eighth is from Arnold Heertje, ed., The Makers of Modern Economics, vol. II (Aldershot, U.K.: Edward Elgar Publishing, 1995). 14 | PART I Introduction Summary 1. Macroeconomics is the study of the economy as a whole, including growth in incomes, changes in prices, and the rate of unemployment. Macroeconomists attempt both to explain economic events and to devise policies to improve economic performance. 2. To understand the economy, economists use models—theories that simplify reality in order to reveal how exogenous variables influence endogenous variables. The art in the science of economics lies in judging whether a model captures the important economic relationships for the matter at hand. Because no single model can answer all questions, macroeconomists use different models to look at different issues. 3. A key feature of a macroeconomic model is whether it assumes that prices are flexible or sticky. According to most macroeconomists, models with flexible prices describe the economy in the long run, whereas models with sticky prices offer a better description of the economy in the short run. 4. Microeconomics is the study of how firms and individuals make decisions and how these decisionmakers interact. Because macroeconomic events arise from many microeconomic interactions, all macroeconomic models must be consistent with microeconomic foundations, even if those foundations are only implicit."
12,"KEY CONCEPTS Macroeconomics Real GDP Inflation and deflation Unemployment Recession Depression Models Endogenous variables Exogenous variables Market clearing Flexible and sticky prices Microeconomics QUESTIONS FOR REVIEW 1. Explain the difference between macroeconomics and microeconomics. How are these two fields related? 2. Why do economists build models? 3. What is a market-clearing model? When is it appropriate to assume that markets clear? CHAPTER 1 The Science of Macroeconomics | 15 PROBLEMS AND APPLICATIONS To access online learning resources, visit for Macroeconomics, 9e at www.macmillanhighered.com/launchpad/mankiw9e 1. List three macroeconomic issues that have been in the news lately. 2. What do you think are the defining characteristics of a science? Do you think macroeconomics should be called a science? Why or why not? 3. Use the model of supply and demand to explain how a fall in the price of frozen yogurt would affect the price of ice cream and the quantity of ice cream sold. In your explanation, identify the exogenous and endogenous variables. 4. How often does the price you pay for a haircut change? What does your answer imply about the usefulness of market-clearing models for analyzing the market for haircuts?"
13,"S cientists, economists, and detectives have much in common: they all want to figure out what’s going on in the world around them. To do this, they rely on theory and observation. They build theories in an attempt to make sense of what they see happening. They then turn to more systematic observation to evaluate the theories’ validity. Only when theory and evidence come into line do they feel they understand the situation. This chapter discusses the types of observation that economists use to develop and test their theories. Casual observation is one source of information about what’s happening in the economy. When you go shopping, you notice whether prices are rising, falling, or staying the same. When you look for a job, you learn whether firms are hiring. Every day, as we go about our lives, we participate in some aspect of the economy and get some sense of economic conditions."
14,"A century ago, economists monitoring the economy had little more to go on than such casual observations. Such fragmentary information made economic policymaking difficult. One person’s anecdote would suggest the economy was moving in one direction, while another’s would suggest otherwise. Economists needed some way to combine many individual experiences into a coherent whole. There was an obvious solution: as the old quip goes, the plural of “anecdote” is “data.” Today, economic data offer a systematic and objective source of information, and almost every day you can hear or read a story about some newly released statistic. Most of these statistics are produced by the government. Various government agencies survey households and firms to learn about their economic activity—how much they are earning, what they are buying, what prices they are charging, how much they are producing, and so on. From these surveys, the government computes various statistics that summarize the state of the economy."
15,"2-1 Measuring the Value of Economic Activity: Gross Domestic Product Gross domestic product, or GDP, is often considered the best measure of how well an economy is performing. In the United States, this statistic is computed every three months by the Bureau of Economic Analysis, a part of the U.S. Department of Commerce, from a large number of primary data sources. These primary sources include both (1) administrative data, which are byproducts of government functions such as tax collection, education programs, defense, and regulation, and (2) statistical data, which come from government surveys of, for example, retail establishments, manufacturing firms, and farms. The purpose of GDP is to summarize all these data with a single number representing the dollar value of economic activity in a given period of time."
