id,paragraph
1,"6George Perry, “Gauging Employment: Is the Professional Wisdom Wrong?” Brookings Papers on Economic Activity (2005): 2. CHAPTER 2 The Data of Macroeconomics | 43 Summary 1. Gross domestic product (GDP) measures the income of everyone in the economy and, equivalently, the total expenditure on the economy’s output of goods and services. 2. Nominal GDP values goods and services at current prices. Real GDP values goods and services at constant prices. Real GDP rises only when the amount of goods and services has increased, whereas nominal GDP can rise either because output has increased or because prices have increased. The GDP deflator is the ratio of nominal to real GDP and measures the overall level of prices. 3. GDP is the sum of four categories of expenditure: consumption, investment, government purchases, and net exports. This relationship is called the national income accounts identity. 4. The consumer price index (CPI) measures the price of a fixed basket of goods and services purchased by a typical consumer relative to the same basket in a base year. Like the GDP deflator and the personal consumption expenditure (PCE) deflator, the CPI measures the overall level of prices, but unlike the deflators, it does not allow the basket of goods and services to change over time as consumers respond to changes in relative prices. 5. The labor-force participation rate shows the fraction of adults who are working or want to work. The unemployment rate shows the fraction of those in the labor force who do not have a job."
2,"KEY CONCEPTS Gross domestic product (GDP) National income accounting Stocks and flows Value added Imputed value Nominal versus real GDP GDP deflator National income accounts identity Consumption Investment Government purchases Net exports Consumer price index (CPI) PCE deflator Labor force Unemployment rate Labor-force participation rate QUESTIONS FOR REVIEW 1. List the two things that GDP measures. How can GDP measure two things at once? 2. What are the four components of GDP? Give an example of each. 3. What does the consumer price index measure? List three ways in which it differs from the GDP deflator. 4. How are the CPI and the PCE deflator similar, and how are they different? 5. List the three categories used by the Bureau of Labor Statistics to classify everyone in the economy. How does the BLS compute the unemployment rate? 6. Describe the two ways the BLS measures total employment."
3,"44 | PART I Introduction PROBLEMS AND APPLICATIONS 1. Go to the website of the Bureau of Economic Analysis and find the growth rate of real GDP for the most recent quarter. Go to the website of the Bureau of Labor Statistics and find the inflation rate over the past year and the unemployment rate for the most recent month. How do you interpret these data? 2. A farmer grows a bushel of wheat and sells it to a miller for $1. The miller turns the wheat into flour and then sells the flour to a baker for $3. The baker uses the flour to make bread and sells the bread to an engineer for $6. The engineer eats the bread. What is the value added by each person? What is the bread’s contribution to GDP? 3. Suppose a woman marries her butler. After they are married, her husband continues to wait on her as before, and she continues to support him as before (but as a husband rather than as an employee). How does the marriage affect GDP? How do you think it should affect GDP? 4. Place each of the following transactions in one of the four components of expenditure: consumption, investment, government purchases, and net exports. a. Boeing sells an airplane to the U.S. Air Force. b. Boeing sells an airplane to American Airlines. c. Boeing sells an airplane to Air France. d. Boeing sells an airplane to Amelia Earhart. e. Boeing builds an airplane to be sold next year. 5. Find data on GDP and its components, and compute the percentage of GDP for the following components for 1950, 1980, and the most recent year available. a. Personal consumption expenditures b. Gross private domestic investment c. Government purchases d. Net exports e. National defense purchases f. Imports Do you see any stable relationships in the data? Do you see any trends? (Hint: You can find the data at http://www.bea.gov, which is the Web site of the Bureau of Economic Analysis.) 6. • Tina is the sole owner of Tina’s Lawn Mowing, Incorporated (TLM). In one year, TLM collects $1,000,000 from customers to mow their lawns. TLM’s equipment depreciates in value by $125,000. TLM pays $600,000 to its workers, who pay $140,000 in taxes on this income. TLM pays $50,000 in corporate income taxes and pays Tina a dividend of $150,000. Tina pays taxes of $60,000 on this dividend income. TLM retains $75,000 of earnings in the business to finance future expansion. How much does this economic activity contribute to each of the following? a. GDP b. NNP c. National income d. Compensation of employees e. Proprietors’ income f. Corporate profits g. Personal income h. Disposable personal income 7. • Consider an economy that produces and consumes hot dogs and hamburgers. In the following table are data for two different years. a. Using 2010 as the base year, compute the following statistics for each year: nominal GDP, real GDP, the implicit price deflator for GDP, and a fixed-weight price index such as the CPI. b. By what percentage did prices rise between 2010 and 2015? Give the answer for each good and also for the two measures of the overall price level. Compare the answers given by the Laspeyres and Paasche price indexes. Explain the difference."
4,"2010 2015 Good Quantity Price Quantity Price Hot dogs 200 $2 250 $4 Hamburgers 200 $3 500 $4 CHAPTER 2 The Data of Macroeconomics | 45 8. Abby consumes only apples. In year 1, red apples cost $1 each, green apples cost $2 each, and Abby buys 10 red apples. In year 2, red apples cost $2, green apples cost $1, and Abby buys 10 green apples. a. Compute a consumer price index for apples for each year. Assume that year 1 is the base year in which the consumer basket is fixed. How does your index change from year 1 to year 2? b. Compute Abby’s nominal spending on apples in each year. How does it change from year 1 to year 2? c. Using year 1 as the base year, compute Abby’s real spending on apples in each year. How does it change from year 1 to year 2? d. Defining the implicit price deflator as nominal spending divided by real spending, compute the deflator for each year. How does the deflator change from year 1 to year 2? e. Suppose that Abby is equally happy eating red or green apples. How much has the true cost of living increased for Abby? Compare this answer to your answers to parts (a) and (d). What does this example tell you about the Laspeyres and Paasche price indexes? 9. •฀An economy has 100 people divided among the following groups: 25 have full-time jobs, 20 have one part-time job, 5 have two part-time jobs, 10 would like to work and are looking for jobs, 10 would like to work but are so discouraged they have given up looking, 10 are running their own businesses, 10 are retired, and 10 are small children. a. Calculate the labor force and the labor-force participation rate. b. Calculate the number of unemployed and the unemployment rate. c. Calculate total employment in two ways: as measured by the household survey and as measured by the establishment survey."
5,"This chapter addresses four groups of questions about the sources and uses of a nation’s GDP: n How much do the firms in the economy produce? What determines a nation’s total income? n Who gets the income from production? How much goes to compensate workers, and how much goes to compensate owners of capital? n Who buys the output of the economy? How much do households purchase for consumption, how much do households and firms purchase for investment, and how much does the government buy for public purposes? n What equilibrates the demand for and supply of goods and services? What ensures that desired spending on consumption, investment, and government purchases equals the level of production? To answer these questions, we must examine how the various parts of the economy interact. A good place to start is the circular flow diagram. In Chapter 2 we traced the circular flow of dollars in a hypothetical economy that used one input (labor services) 3 CHAPTER 48 | PART II Classical Theory: The Economy in the Long Run to produce one output (bread). Figure 3-1 more accurately reflects how real economies function. It shows the linkages among the economic actors—households, firms, and the government—and how dollars flow among them through the various markets in the economy."
6,"This chapter addresses four groups of questions about the sources and uses of a nation’s GDP: n How much do the firms in the economy produce? What determines a nation’s total income? n Who gets the income from production? How much goes to compensate workers, and how much goes to compensate owners of capital? n Who buys the output of the economy? How much do households purchase for consumption, how much do households and firms purchase for investment, and how much does the government buy for public purposes? n What equilibrates the demand for and supply of goods and services? What ensures that desired spending on consumption, investment, and government purchases equals the level of production? To answer these questions, we must examine how the various parts of the economy interact."
7,"A good place to start is the circular flow diagram. In Chapter 2 we traced the circular flow of dollars in a hypothetical economy that used one input (labor services) 3 CHAPTER 48 | PART II Classical Theory: The Economy in the Long Run to produce one output (bread). Figure 3-1 more accurately reflects how real economies function. It shows the linkages among the economic actors—households, firms, and the government—and how dollars flow among them through the various markets in the economy."
8,"Let’s look at the flow of dollars from the viewpoints of these economic actors. Households receive income and use it to pay taxes to the government, to consume goods and services, and to save through the financial markets. Firms receive revenue from the sale of the goods and services they produce and use it to pay for the factors of production. Households and firms borrow in financial markets to buy investment goods, such as houses and factories. The government receives revenue from taxes and uses it to pay for government purchases. Any excess of tax revenue over government spending is called public saving, which can be either positive (a budget surplus) or negative (a budget deficit)."
9,"Income Private saving Taxes Consumption Firm revenue Investment Public saving Government purchases Factor payments Markets for Factors of Production Markets for Goods and Services Financial Markets Households Government Firms FIGURE 3-1 The Circular Flow of Dollars Through the Economy This figure is a more realistic version of the circular flow diagram found in Chapter 2. Each yellow box represents an economic actor—households, firms, and the government. Each blue box represents a type of market—the markets for goods and services, the markets for the factors of production, and financial markets. The green arrows show the flow of dollars among the economic actors through the three types of markets."
10,"In this chapter we develop a basic classical model to explain the economic interactions depicted in Figure 3-1. We begin with firms and look at what determines their level of production (and thus the level of national income). Then we examine how the markets for the factors of production distribute this income to households. Next, we consider how much of this income households consume and how much they save. In addition to discussing the demand for goods and services arising from the consumption of households, we discuss the demand arising from investment and government purchases. Finally, we come full circle and examine how the demand for goods and services (the sum of consumption, investment, and government purchases) and the supply of goods and services (the level of production) are brought into balance."
11,"3-1 What Determines the Total Production of Goods and Services? An economy’s output of goods and services—its GDP—depends on (1) its quantity of inputs, called the factors of production, and (2) its ability to turn inputs into output, as represented by the production function. The Factors of Production Factors of production are the inputs used to produce goods and services. The two most important factors of production are capital and labor. Capital is the set of tools that workers use: the construction worker’s crane, the accountant’s calculator, and this author’s personal computer. Labor is the time people spend working. We use the symbol K to denote the amount of capital and the symbol L to denote the amount of labor."
12,"In this chapter we take the economy’s factors of production as given. In other words, we assume that the economy has a fixed amount of capital and a fixed amount of labor. We write K  K – . L  L – . The overbar means that each variable is fixed at some level. In Chapter 8 we examine what happens when the factors of production change over time, as they do in the real world. For now, to keep our analysis simple, we assume fixed amounts of capital and labor."
13,"We also assume here that the factors of production are fully utilized. That is, no resources are wasted. Again, in the real world, part of the labor force is unemployed, and some capital lies idle. In Chapter 7 we examine the reasons for unemployment, but for now we assume that capital and labor are fully employed."
14,"The Production Function The available production technology determines how much output is produced from given amounts of capital and labor. Economists express this relationship using a production function. Letting Y denote the amount of output, we write the production function as Y  F (K, L). This equation states that output is a function of the amount of capital and the amount of labor. The production function reflects the available technology for turning capital and labor into output. If someone invents a better way to produce a good, the result is more output from the same amounts of capital and labor. Thus, technological change alters the production function."
15,"Many production functions have a property called constant returns to scale. A production function has constant returns to scale if an increase of an equal percentage in all factors of production causes an increase in output of the same percentage. If the production function has constant returns to scale, then we get 10 percent more output when we increase both capital and labor by 10 percent. Mathematically, a production function has constant returns to scale if zY  F (zK, zL) for any positive number z. This equation says that if we multiply both the amount of capital and the amount of labor by some number z, output is also multiplied by z. In the next section we see that the assumption of constant returns to scale has an important implication for how the income from production is distributed."
16,"As an example of a production function, consider production at a bakery. The kitchen and its equipment are the bakery’s capital, the workers hired to make the bread are its labor, and the loaves of bread are its output. The bakery’s production function shows that the number of loaves produced depends on the amount of equipment and the number of workers. If the production function has constant returns to scale, then doubling the amount of equipment and the number of workers doubles the amount of bread produced."
17,"The Supply of Goods and Services We can now see that the factors of production and the production function together determine the quantity of goods and services supplied, which in turn equals the economy’s output. To express this mathematically, we write Y  F (K – , L – )  Y – . In this chapter, because we assume that the supplies of capital and labor and the technology are fixed, output is also fixed (at a level denoted here as – Y )."
18,"In this section we continue to develop our model of the economy by discussing how these factor markets work. Economists have long studied factor markets to understand the distribution of income. For example, Karl Marx, the noted nineteenth-century economist, spent much time trying to explain the incomes of capital and labor. The political philosophy of communism was in part based on Marx’s now-discredited theory."
19,"Here we examine the modern theory of how national income is divided among the factors of production. It is based on the classical (eighteenth-century) idea that prices adjust to balance supply and demand, applied here to the markets for the factors of production, together with the more recent (nineteenth-century) idea that the demand for each factor of production depends on the marginal productivity of that factor. This theory, called the neoclassical theory of distribution, is accepted by most economists today as the best place to start in understanding how the economy’s income is distributed from firms to households."
20,"Factor Prices The distribution of national income is determined by factor prices. Factor prices are the amounts paid to each unit of the factors of production. In an economy where the two factors of production are capital and labor, the two factor prices are the wage workers earn and the rent the owners of capital collect."
