id,paragraph
1,"in the money supply caused the Depression.
They assert that the Depression would have been avoided if the Fed had been
pursuing a passive monetary policy of increasing the money supply at a steady
rate. Hence, depending on one’s beliefs about its cause, the Great Depression
can be viewed either as an example of why active monetary and fiscal policy is
necessary or as an example of why it is dangerous.
Is the Stabilization of the Economy a Figment of
the Data?
Keynes wrote The General Theory in the 1930s, and in the wake of the Keynesian
revolution, governments around the world began to view economic stabilization as a primary responsibility. Some economists believe that the development
of Keynesian theory has had a profound influence on the behavior of the
economy. Comparing data from before World War I and after World War II,
they find that real GDP and unemployment have become much more stable.
This, some Keynesians claim, is the best argument for active stabilization policy:
it has worked.
In a series of provocative and influential papers, economist Christina Romer
has challenged this assessment of the historical record. She argues that the measured reduction in volatility reflects not an improvement in economic policy and
performance but rather an improvement in the economic data. The older data are
much less accurate than the newer data. Romer claims that the higher volatility
of unemployment and real GDP reported for the period before World War I is
largely a figment of the data.
Romer uses various techniques to make her case. One is to construct more
accurate data for the earlier period. This task is difficult because data sources are
not readily available. A second way is to construct less accurate data for the recent
period—that is, data that are comparable to the older data and thus suffer from the
same imperfections. After constructing new “bad” data, Romer finds that the recent
period appears almost as volatile as the early period, suggesting that the volatility of
the early period may be largely an artifact of how the data were assembled.
CASE STUDY
CHAPTER 18 Alternative Perspectives on Stabilization Policy | 539
3To read more about this topic, see Christina D. Romer, “Spurious Volatility in Historical
Unemployment Data,” Journal of Political Economy 94 (February 1986): 1–37; and Christina D. Romer,
“Is the Stabilization of the Postwar Economy a Figment of the Data?” American Economic Review 76
(June 1986): 314–334."
2,"How Does Policy Uncertainty Affect the Economy?
When monetary and fiscal policymakers actively try to control the economy, the
future course of economic policy is often uncertain. Policymakers do not always
make their intentions clear. Moreover, because the policy outcome can be the
result of a divisive, contentious, and unpredictable political process, the public has
every reason to be unsure about what policy decisions will end up being made.
In recent research, economists Scott Baker, Nicholas Bloom, and Steve Davis
studied the effects of policy uncertainty. Baker, Bloom, and Davis began by constructing an index that measures how the amount of policy uncertainty changes
over time. Their index has three components.
The first component is derived from reading articles in newspapers. Starting in
January 1985, they searched ten major papers for terms related to economic and
policy uncertainty. In particular, they searched for articles containing the term
“uncertainty” or “uncertain,” the term “economic” or “economy,” and at least
one of the following terms: “congress,” “legislation,” “white house,” “regulation,”
“federal reserve,” or “deficit.” The more articles there were that included terms
in all three categories, the higher the index of policy uncertainty.
The second component of the index is based on the number of temporary provisions in the federal tax code. Baker, Bloom, and Davis reasoned that “temporary tax
measures are a source of uncertainty for businesses and households because Congress
often extends them at the last minute, undermining stability in and certainty about
the tax code.” The more temporary tax provisions there are, and the larger the dollar
magnitudes involved in the provisions, the higher the index of policy uncertainty.
The third component of the index is based on the amount of disagreement
among private forecasters about several key variables related to macroeconomic
policy. Baker, Bloom, and Davis assumed that the more private forecasters disagree
about the future price level and future levels of government spending, the more
uncertainty there is about monetary and fiscal policy. That is, the greater the dispersion in these private forecasts, the higher the level of the policy uncertainty index.
Figure 18-2 shows the index derived from these three components. The
index spikes upward, indicating an increase in policy uncertainty, when there is a
significant foreign policy event (such as war or terrorist attack), when there is an
economic crisis (such as the Black Monday stock market crash or the bankruptcy
CASE STUDY
Romer’s work is part of the continuing debate over whether macroeconomic
policy has improved the performance of the economy. Although her work
remains controversial, most economists now believe that the economy in the
immediate aftermath of the Keynesian revolution was only slightly more stable
than it had been before.3 n
540 | PART VI Topics in Macroeconomic Policy
of the large investment bank Lehman Brothers), or when there is a major political event (such as the election of a new president)."
3,"ertainty may depress the
aggregate demand for goods and services. When policy uncertainty increases,
households and firms may put off some large purchases until the uncertainty is
resolved. For example, if a firm is considering building a new factory, and the
profitability of the investment depends on what policy is pursued, the firm may
decide to wait until a policy decision is made. Such a delay is rational for the
firm, but it contributes to a decline in aggregate demand, which reduces the
economy’s output and raises unemployment.
To be sure, some policy uncertainty is inevitable. But it is good for policymakers to
keep in mind that the amount of uncertainty is, to some degree, under their control
and that heightened uncertainty appears to have adverse macroeconomic effects.4 n
FIGURE 18-2
An Index of Policy Uncertainty Various kinds of events cause uncertainty about policy
to increase. Spikes in policy uncertainty may depress economic activity.
Data from: http://www.policyuncertainty.com/us_monthly.html
Balanced
Budget Act
1st Gulf War 9/11
Banking
Crisis,
Obama
Election
Fiscal
Cliff
Debt Ceiling Disputes, Euro Debt
Clinton
Election
Bush
Election
2nd
Gulf War
Lehman
and TARP
Government
Shutdown
Large interest
rate cuts,
Stimulus
Russian Crisis/
LTCM
Black
Monday
1985
Policy
Uncertainty
Index
1987 1989 1991 1993 1995 1997 1999 2001 2003 2005 2007 2009 2011 2013
0
50
100
150
200
250
300
4
Scott R. Baker, Nicholas Bloom, and Steven J. Davis, “Measuring Economic Policy Uncertainty,”
Working Paper, 2013. Available at http://www.policyuncertainty.com."
4,"CHAPTER 18 Alternative Perspectives on Stabilization Policy | 541
18-2 Should Policy Be Conducted by
Rule or by Discretion?
A second topic debated among economists is whether economic policy should
be conducted by rule or by discretion. Policy is conducted by rule if policymakers
announce in advance how policy will respond to various situations and commit
themselves to following through on this announcement. Policy is conducted by
discretion if policymakers are free to size up events as they occur and choose
whatever policy they consider appropriate at the time.
The debate over rules versus discretion is distinct from the debate over passive
versus active policy. Policy can be conducted by rule and yet be either passive
or active. For example, a passive policy rule might specify steady growth in the
money supply of 3 percent per year. An active policy rule might specify that
Money Growth 5 3% 1 (Unemployment Rate 2 6%).
Under this rule, the money supply grows at 3 percent if the unemployment rate
is 6 percent, but for every percentage point by which the unemployment rate
exceeds 6 percent, money growth increases by an extra percentage point. This
rule tries to stabilize the economy by raising money growth when the economy
is in a recession.
We begin this section by discussing why policy might be improved by a commitment to a policy rule. We then examine several possible policy rules."
5,"Distrust of Polic
ymakers and the Political Process
Some economists believe that economic policy is too important to be left to the
discretion of policymakers. Although this view is more political than economic,
evaluating it is central to how we judge the role of economic policy. If politicians are incompetent or opportunistic, then we may not want to give them the
discretion to use the powerful tools of monetary and fiscal policy.
Incompetence in economic policy arises for several reasons. Some economists
view the political process as erratic, perhaps because it reflects the shifting power
of special-interest groups. In addition, macroeconomics is complicated, and politicians
often do not have sufficient knowledge of it to make informed judgments.
This ignorance allows charlatans to propose incorrect but superficially appealing
solutions to complex problems. The political process often cannot weed out the
advice of charlatans from that of competent economists.
Opportunism in economic policy arises when the objectives of policymakers
conflict with the well-being of the public. Some economists fear that politicians
use macroeconomic policy to further their own electoral ends. If citizens vote
on the basis of economic conditions prevailing at the time of the election, then
politicians have an incentive to pursue policies that will make the economy
look good during election years. A president might cause a recession soon after
coming into office to lower inflation and then stimulate the economy as the
next election approaches to lower unemployment; this would ensure that both
542 | PART VI Topics in Macroeconomic Policy
inflation and unemployment are low on election day. Manipulation of the economy for electoral gain, called the political business cycle, has been the subject
of extensive research by economists and political scientists.5
Distrust of the political process leads some economists to advocate placing
economic policy outside the realm of politics. Some have proposed constitutional
amendments, such as a balanced-budget amendment, that would tie the hands of
legislators and insulate the economy from both incompetence and opportunism.
We discuss some potential problems with a balanced-budget amendment in the
next chapter."
6,"ymakers and the Political Process
Some economists believe that economic policy is too important to be left to the
discretion of policymakers. Although this view is more political than economic,
evaluating it is central to how we judge the role of economic policy. If politicians are incompetent or opportunistic, then we may not want to give them the
discretion to use the powerful tools of monetary and fiscal policy.
Incompetence in economic policy arises for several reasons. Some economists
view the political process as erratic, perhaps because it reflects the shifting power
of special-interest groups. In addition, macroeconomics is complicated, and politicians often do not have sufficient knowledge of it to make informed judgments.
This ignorance allows charlatans to propose incorrect but superficially appealing
solutions to complex problems. The political process often cannot weed out the
advice of charlatans from that of competent economists.
Opportunism in economic policy arises when the objectives of policymakers
conflict with the well-being of the public. Some economists fear that politicians
use macroeconomic policy to further their own electoral ends. If citizens vote
on the basis of economic conditions prevailing at the time of the election, then
politicians have an incentive to pursue policies that will make the economy
look good during election years. A president might cause a recession soon after
coming into office to lower inflation and then stimulate the economy as the
next election approaches to lower unemployment; this would ensure that both
542 | PART VI Topics in Macroeconomic Policy
inflation and unemployment are low on election day. Manipulation of the economy for electoral gain, called the political business cycle, has been the subject
of extensive research by economists and political scientists.5
Distrust of the political process leads some economists to advocate placing
economic policy outside the realm of politics. Some have proposed constitutional
amendments, such as a balanced-budget amendment, that would tie the hands of
legislators and insulate the economy from both incompetence and opportunism.
We discuss some potential problems with a balanced-budget amendment in the
next chapter."
7,"n their
announcement. Understanding that policymakers may be inconsistent over time,
private decisionmakers are led to distrust policy announcements. In this situation,
to make their announcements credible, policymakers may want to make a
commitment to a fixed policy rule.
Time inconsistency is illustrated most simply with a political rather than an
economic example—specifically, public policy about negotiating with terrorists
over the release of hostages. The announced policy of many nations is that they
will not negotiate over hostages. Such an announcement is intended to deter
terrorists: if there is nothing to be gained from kidnapping hostages, rational terrorists won’t kidnap any. In other words, the purpose of the announcement is to
influence the expectations of terrorists and thereby their behavior.
But, in fact, unless the policymakers are credibly committed to the policy,
the announcement has little effect. Terrorists know that once hostages are taken,
policymakers face an overwhelming temptation to make some concession
to obtain the hostages’ release. The only way to deter rational terrorists is to
take away the discretion of policymakers and commit them to a rule of never
negotiating. If policymakers were truly unable to make concessions, the incentive
for terrorists to take hostages would be largely eliminated."
8,"The same problem arises less dramatically in the conduct of monetary policy.
Consider the dilemma of a Federal Reserve that cares about both inflation and
unemployment. According to the Phillips curve, the tradeoff between inflation
5William Nordhaus, “The Political Business Cycle,” Review of Economic Studies 42 (1975): 169–190;
Edward Tufte, Political Control of the Economy (Princeton, NJ: Princeton University Press, 1978).
CHAPTER 18 Alternative Perspectives on Stabilization Policy | 543
and unemployment depends on expected inflation. The Fed would prefer everyone to expect low inflation so that it will face a favorable tradeoff. To reduce
expected inflation, the Fed might announce that low inflation is the paramount
goal of monetary policy.
But an announcement of a policy of low inflation is by itself not credible.
Once households and firms have formed their expectations of inflation and
set wages and prices accordingly, the Fed has an incentive to renege on its
announcement and implement expansionary monetary policy to reduce unemployment. People understand the Fed’s incentive to renege and therefore do not
believe the announcement in the first place. Just as a president facing a hostage
crisis is sorely tempted to negotiate their release, a Federal Reserve with discretion is sorely tempted to inflate in order to reduce unemployment. And just as
terrorists discount announced policies of never negotiating, households and firms
discount announced policies of low inflation."
9,"The surprising outcome of this analysis is that policymakers can sometimes
better achieve their goals by having their discretion taken away from them. In
the case of rational terrorists, fewer hostages will be taken and killed if policymakers
are committed to following the seemingly harsh rule of refusing to negotiate
for hostages’ freedom. In the case of monetary policy, there will be lower inflation without higher unemployment if the Fed is committed to a policy of zero
inflation. (This conclusion about monetary policy is modeled more explicitly in
the appendix to this chapter.)
The time inconsistency of policy arises in many other contexts. Here are some
examples:
n To encourage investment, the government announces that it will not
tax income from capital. But after factories have been built, the
government is tempted to renege on its promise to raise more tax
revenue from them.
n To encourage research, the government announces that it will give a
temporary monopoly to companies that discover new drugs. But after
a drug has been discovered, the government is tempted to revoke the
patent or to regulate the price to make the drug more affordable.
n To encourage good behavior, a parent announces that he will punish a
child whenever the child breaks a rule. But after the child has misbehaved, the parent is tempted to forgive the transgression because punishment is unpleasant for the parent as well as for the child.
n To encourage you to work hard, your professor announces that this
course will end with an exam. But after you have studied and learned
all the material, the professor is tempted to cancel the exam so that he
won’t have to grade it.
In each case, rational agents understand the incentive for the policymaker to
renege, and this expectation affects their behavior. And in each case, the solution
is to take away the policymaker’s discretion with a credible commitment to a
fixed policy rule."
10,"fought for its independence from Britain. When the
revolutionary government incurred the debts, it promised to honor them when the
war was over. But after the war, many Americans advocated defaulting on
the debt because repaying the creditors would require taxation, which is always
costly and unpopular.
Hamilton opposed the time-inconsistent policy of repudiating the debt. He knew
that the nation would likely need to borrow again sometime in the future. In his
First Report on the Public Credit, which he presented to Congress in 1790, he wrote:
If the maintenance of public credit, then, be truly so important, the next inquiry
which suggests itself is: By what means is it to be effected? The ready answer to
which question is, by good faith; by a punctual performance of contracts. States,
like individuals, who observe their engagements are respected and trusted, while
the reverse is the fate of those who pursue an opposite conduct.
Thus, Hamilton proposed that the nation make a commitment to the policy rule
of honoring its debts."
