id,paragraph
1,"Raising investment funds by issuing bonds is called debt finance, and raising funds by issuing stock is called equity finance. Debt and equity are forms of direct finance because the saver knows whose investment project his funds are financing. Another piece of the financial system is the set of financial intermediaries through which households can indirectly provide resources for investment. As the term suggests, a financial intermediary stands between the two sides of the market and helps move financial resources toward their best use. Commercial banks are the best-known type of financial intermediary. They take deposits from savers and use these deposits to make loans to those who have investment projects they need to finance. Other examples of financial intermediaries include mutual funds, pension funds, and insurance companies. When an intermediary is involved, the financing is considered indirect because the saver is often unaware of whose investments his funds are financing."
2,"To continue with our example, Larry and Patti can take advantage of any of these opportunities. If Patti and Larry know each other, she could borrow money directly from him and pay him interest on the loan. In this case, she would in effect be selling him a bond. Or Patti could, in exchange for Larry’s money, give him an ownership stake in her new business, and he would enjoy a share of the future profits. In this case, she would be selling him some stock. Or Larry could deposit his savings in a local bank, which in turn could lend the funds to Patti. In this last case, he would be financing her new venture indirectly: they might never meet, or even know of each other’s existence. In all of these cases, Larry and Patti engage in a mutually advantageous exchange. Larry finds a way to earn a return on his savings, and Patti finds a way to finance her investment project."
3,"Sharing Risk Investment is inherently risky. Patti’s new doll might be the next toy craze, or it might be a flop. Like all entrepreneurs, Patti is starting her venture because she expects it to be profitable, but she cannot be certain of that outcome. Throughout this chapter, the word bank should normally be taken to mean commercial bank, which is the most familiar type of bank. By contrast, an investment bank is a financial institution that assists firms and governments in the issuance of stocks and bonds, as well as performing several other functions such as helping arrange corporate mergers and acquisitions. Investment banks not only serve different functions from commercial banks but, because they do not accept insured deposits, are also subject to less regulatory oversight."
4,"One function of the financial system is to allocate risk. When Patti sells stock to Larry, she is sharing the risk of her venture with him. If her doll business is profitable, he will enjoy some of the gains. If it loses money, he will share in the losses. Patti might be eager to share the risk, rather than bear it all herself, because she is risk averse. That is, other things equal, she dislikes uncertainty about her future economic outcomes. Larry might be willing to accept some of the risk if the return he expects on this risky venture is higher than he would obtain by putting his savings into safer assets. Thus, equity finance provides a way for entrepreneurs and savers to share the risks and returns associated with the entrepreneur’s investment ideas."
5,"In addition, the financial system allows savers to reduce their risk by spreading their wealth across many different businesses. Larry knows that buying stock in Patti’s doll venture is risky, so he would be smart to use only some of his savings to buy stock in her business. He could also buy stock from his friend Steve, who is opening an ice-cream store. And he could buy stock in established companies, such as IBM, General Electric, and Exxon. Because the success of Patti’s doll venture is not perfectly correlated with the success of Steve’s ice-cream store, or with the profitability of IBM, General Electric, and Exxon, Larry reduces the overall risk he faces when he spreads his wealth around. Reducing risk by holding many imperfectly correlated assets is called diversification."
6,"Various financial institutions facilitate diversification. Among the most important are mutual funds. Mutual funds are financial intermediaries that sell shares to savers and use their funds to buy diversified pools of assets. Even a small saver can put, say, $1,000 into a mutual fund and become a part owner of thousands of businesses. Because the fortunes of these many businesses are not perfectly correlated with one another, putting the $1,000 into a mutual fund is far less risky than using all of it to buy stock in a single company. There are limits, however, to how much diversification reduces risk. Some macroeconomic events affect many businesses at the same time. Such risk is called systematic risk. In particular, recessions tend to reduce the demand for most products and thus the profitability of most businesses. Diversification cannot reduce this kind of risk. Yet it can largely eliminate the risks associated with individual businesses, called idiosyncratic risk, such as whether Patti’s doll or Steve’s ice cream proves popular. For this reason, it is wise for savers like Larry to limit how much of their savings they allocate to the stock of any one company."
7,"Dealing With Asymmetric Information As Larry considers financing Patti’s business venture, one question is paramount in his mind: Will her company succeed? If Larry offers her equity financing, he gets a share of future profits, so the fortune of the business is crucial. Debt financing is safer for Larry, because debt holders are paid before equity holders get anything, but Patti’s success is still relevant. If the doll business is a failure, Patti may not be able to repay the loan. That is, she might default. Not only might Larry not get the interest he was promised, but he might lose his principal (the amount of the loan) as well."
8,"Making matters worse is the fact that Patti knows a lot more than Larry about herself and her business. Economists use the phrase asymmetric information to describe a situation in which one party to an economic transaction has more information about the transaction than the other. There are two classic types of asymmetric information, both of which are relevant as Larry ponders whether to finance Patti’s venture. The first type of asymmetric information concerns hidden knowledge about attributes. Is Patti’s doll design a good one that will have wide appeal? Is the doll market ready for a new product, or is it oversaturated? Is Patti a talented businesswoman? Patti is more likely than Larry to have reliable answers to these questions. This is generally the case: entrepreneurs have more information about whether their investment projects are good ones than those who provide the financing."
9,"In this situation, Larry should worry about the problem of adverse selection. As we noted in Chapter 7 in a different context, the term “adverse selection” describes the tendency of people with more information (here, the entrepreneurs) to sort themselves in a way that disadvantages people with less information (here, those providing the financing). In our example, Larry may be concerned that he will be offered opportunities to finance only less desirable business ventures. If Patti was truly confident in her idea, she might try harder to finance it herself, using more of her own savings. The fact that she is asking Larry to provide financing and share some of the risk suggests that perhaps she knows something adverse that he does not know. As a result, Larry has reason to be wary."
10,"The second type of asymmetric information concerns hidden knowledge about actions. Once Patti obtains financing from Larry, she will have many decisions to make. Will she work long hours at the job, or will she cut out early to play tennis with friends? Will she spend the money she has raised in the most profitable way, or will she use it to provide herself with a cushy office and a fancy company car? Patti can promise to make decisions in the best interests of the business, but it will be hard for Larry to verify that she in fact does so because he won’t be at the doll factory every day to observe all the decisions that she makes."
11,"In this case, the problem that arises is moral hazard, the risk that an imperfectly monitored agent will act in a dishonest or otherwise inappropriate way. In particular, entrepreneurs investing other people’s money may not look after the investment projects as carefully as those who invest their own money. Once Patti has Larry’s money in hand, she may be tempted to choose the easy life. If she succumbs to moral hazard, she will reduce the future profitability of the firm and increase the risk of default on her firm’s debts."
12,"The financial system has developed various institutions that mitigate the effects of adverse selection and moral hazard. Banks are among the most important. When a person applies for a bank loan, he must fill out an application that asks detailed questions about his business plan, employment background, credit history, criminal record, and other financial and personal characteristics. Because the application is then scrutinized by loan officers trained to evaluate businesses, the bank stands a good chance of uncovering the hidden attributes that lead to adverse selection. In addition, to reduce the problem of moral hazard, bank loans may contain restrictions on how the loan proceeds are spent, and the loan officers may monitor the business after the loan is made. As a result, rather than making a direct loan to Patti, it may make sense for Larry to deposit his money in a bank, which in turn will lend it to various entrepreneurs like Patti. The bank charges a fee for serving as an intermediary, reflected in the difference between the interest rate it charges on loans and the interest rate it pays on deposits. The bank earns its fee by reducing the problems associated with asymmetric information."
13,"Fostering Economic Growth In Chapters 8 and 9 we used the Solow model to examine the forces that govern long-run economic growth. In that model, we saw that a nation’s saving determines the steady-state level of capital, which in turn determines the steady-state level of income per person. The more a nation saves, the more capital its labor force has to work with, the more it produces, and the more income its citizens enjoy. The Solow model makes the simplifying assumption that there is only a single type of capital, but the real world includes many thousands of firms with diverse investment projects competing for the economy’s limited resources. Larry’s saving can finance Patti’s doll business, but it could instead finance Steve’s ice-cream store, a Boeing aircraft factory, or a Walmart retail outlet. The financial system has the job of allocating the economy’s scarce saving among the alternative types of investment."
14,"default on her firm’s debts. The financial system has developed various institutions that mitigate the effects of adverse selection and moral hazard. Banks are among the most important. When a person applies for a bank loan, he must fill out an application that asks detailed questions about his business plan, employment background, credit history, criminal record, and other financial and personal characteristics. 586 | PART VI Topics in Macroeconomic Policy Because the application is then scrutinized by loan officers trained to evaluate businesses, the bank stands a good chance of uncovering the hidden attributes that lead to adverse selection. In addition, to reduce the problem of moral hazard, bank loans may contain restrictions on how the loan proceeds are spent, and the loan officers may monitor the business after the loan is made. As a result, rather than making a direct loan to Patti, it may make sense for Larry to deposit his money in a bank, which in turn will lend it to various entrepreneurs like Patti. The bank charges a fee for serving as an intermediary, reflected in the difference between the interest rate it charges on loans and the interest rate it pays on deposits. The bank earns its fee by reducing the problems associated with asymmetric information."
