Date,Percent,SimScoreIndex,Cutoff,NodeCount,RelCount
202302,Sim_5%,49,0.6740543874138785,142,176
202302,Sim_6%,49,0.6700586049333054,160,193
202302,Sim_7%,49,0.666895191398579,169,204
202302,Sim_8%,49,0.6637925600990586,172,208
202302,Sim_9%,49,0.6585355692618367,185,228
202302,Sim_10%,49,0.6557289105230706,199,246
202302,Sim_11%,49,0.6529904665461164,217,268
202302,Sim_12%,49,0.6514395471931003,227,286
202302,Sim_13%,49,0.6483605301697197,240,302
202302,Sim_14%,49,0.6473450475013618,249,314
202302,Sim_15%,49,0.645210269575123,274,341
202302,Sim_16%,49,0.6434500909898139,285,354
202302,Sim_17%,49,0.6406957893261339,299,370
202302,Sim_18%,49,0.6392223661665882,317,398
202302,Sim_19%,49,0.6372876693794506,322,405
202302,Sim_20%,49,0.6350990601021129,334,426
202303,Sim_5%,50,0.6635991125348701,146,180
202303,Sim_6%,50,0.659185048116739,166,201
202303,Sim_7%,50,0.6544087789311769,168,203
202303,Sim_8%,50,0.6511931368736015,189,228
202303,Sim_9%,50,0.6472850666865878,209,255
202303,Sim_10%,50,0.6437812590017482,227,274
202303,Sim_11%,50,0.6417066998427051,233,280
202303,Sim_12%,50,0.6394844811154604,255,311
202303,Sim_13%,50,0.6370152755302644,288,349
202303,Sim_14%,50,0.6354099578897087,306,367
202303,Sim_15%,50,0.6317246561156136,326,401
202303,Sim_16%,50,0.6299425821110161,345,424
202303,Sim_17%,50,0.6285316135905519,362,446
202303,Sim_18%,50,0.6267252284678095,374,458
202303,Sim_19%,50,0.6246689987766276,386,471
202303,Sim_20%,50,0.6221965986225656,394,480
202305,Sim_5%,51,0.6594677628621075,246,320
202305,Sim_6%,51,0.6561576778225598,257,332
202305,Sim_7%,51,0.6513450359328763,282,359
202305,Sim_8%,51,0.6481175927185711,311,388
202305,Sim_9%,51,0.6432135333724617,326,409
202305,Sim_10%,51,0.6407014275493134,354,447
202305,Sim_11%,51,0.637883782941893,390,490
202305,Sim_12%,51,0.636012385976184,408,511
202305,Sim_13%,51,0.6331181476508645,444,556
202305,Sim_14%,51,0.63107738376006,480,621
202305,Sim_15%,51,0.6294905409982222,507,653
202305,Sim_16%,51,0.6281676145099023,537,686
202305,Sim_17%,51,0.6256648905626704,567,724
202305,Sim_18%,51,0.6236528160103411,584,744
202305,Sim_19%,51,0.6224467801831425,598,760
202305,Sim_20%,51,0.620394038407321,618,796
202306,Sim_5%,52,0.6523209491657234,248,310
202306,Sim_6%,52,0.6491324302680491,272,333
202306,Sim_7%,52,0.6443497180942487,304,376
202306,Sim_8%,52,0.641026105673249,329,405
202306,Sim_9%,52,0.6376833489458684,373,458
202306,Sim_10%,52,0.6339628470730508,395,505
202306,Sim_11%,52,0.631748846533997,424,541
202306,Sim_12%,52,0.6294792384356066,441,561
202306,Sim_13%,52,0.6271219226068491,470,592
202306,Sim_14%,52,0.6248134328169467,520,659
202306,Sim_15%,52,0.6233787082093153,551,695
202306,Sim_16%,52,0.6209377805011558,588,732
202306,Sim_17%,52,0.6194599906380022,605,751
202306,Sim_18%,52,0.6182435430812113,632,786
202306,Sim_19%,52,0.6164106282345951,652,808
202306,Sim_20%,52,0.6138237315693248,670,838
202307,Sim_5%,53,0.6509182676136647,265,384
202307,Sim_6%,53,0.6459569469513187,296,418
202307,Sim_7%,53,0.6421997090304679,330,462
202307,Sim_8%,53,0.6384779579636257,359,493
202307,Sim_9%,53,0.6349132961374437,402,549
202307,Sim_10%,53,0.633245990237366,431,603
202307,Sim_11%,53,0.6296392244473642,465,639
202307,Sim_12%,53,0.6276441431263472,502,698
202307,Sim_13%,53,0.6250451981457303,537,745
202307,Sim_14%,53,0.6233264855449994,570,803
202307,Sim_15%,53,0.6206879757281764,603,840
202307,Sim_16%,53,0.6191544534310458,628,864
202307,Sim_17%,53,0.6169344174917336,661,898
202307,Sim_18%,53,0.6150764140881444,700,949
202307,Sim_19%,53,0.6138600706109638,712,963
202307,Sim_20%,53,0.6110744487807829,726,1001
202309,Sim_5%,54,0.6527745620845085,153,201
202309,Sim_6%,54,0.647440122673971,182,231
202309,Sim_7%,54,0.6447945566826648,201,254
202309,Sim_8%,54,0.6406660915685839,210,262
202309,Sim_9%,54,0.6374546931058283,226,281
202309,Sim_10%,54,0.6339201948258035,262,332
202309,Sim_11%,54,0.6320474943080264,283,356
202309,Sim_12%,54,0.6289800535291789,297,370
202309,Sim_13%,54,0.6273527218873658,332,419
202309,Sim_14%,54,0.6245838066023531,349,441
202309,Sim_15%,54,0.6232433321763537,369,465
202309,Sim_16%,54,0.6208375355156707,389,486
202309,Sim_17%,54,0.6195225526746537,407,505
202309,Sim_18%,54,0.6183283755348352,434,537
202309,Sim_19%,54,0.6162678608685124,449,553
202309,Sim_20%,54,0.6137163018823741,465,589
202311,Sim_5%,55,0.6568965803507796,154,194
202311,Sim_6%,55,0.6531207498296452,175,217
202311,Sim_7%,55,0.6483326467919258,186,229
202311,Sim_8%,55,0.6456264594356294,202,245
202311,Sim_9%,55,0.6427185129409381,216,262
202311,Sim_10%,55,0.6390212893172592,232,286
202311,Sim_11%,55,0.6356331232624693,250,312
202311,Sim_12%,55,0.6336233486467241,277,344
202311,Sim_13%,55,0.6322675456181165,297,367
202311,Sim_14%,55,0.6299276466083046,312,387
202311,Sim_15%,55,0.6280609157148007,328,406
202311,Sim_16%,55,0.6261992071820828,347,428
202311,Sim_17%,55,0.6245723367208149,358,439
202311,Sim_18%,55,0.6228063652564819,383,468
202311,Sim_19%,55,0.6214857342644384,405,509
202311,Sim_20%,55,0.6185087874630509,413,517
202312,Sim_5%,56,0.6596719456176902,168,209
202312,Sim_6%,56,0.6544949210206471,183,226
202312,Sim_7%,56,0.6503379722110699,199,242
202312,Sim_8%,56,0.6478284014405069,211,256
202312,Sim_9%,56,0.643801115735666,221,267
202312,Sim_10%,56,0.6409093081935134,246,299
202312,Sim_11%,56,0.6379110657132876,271,336
202312,Sim_12%,56,0.6357396377070017,288,356
202312,Sim_13%,56,0.6347940802990478,302,377
202312,Sim_14%,56,0.6328670319134612,323,408
202312,Sim_15%,56,0.6300703429273615,330,417
202312,Sim_16%,56,0.628344242360219,346,433
202312,Sim_17%,56,0.6270188503797505,366,454
202312,Sim_18%,56,0.6254460310690472,394,490
202312,Sim_19%,56,0.6235642843995539,414,511
202312,Sim_20%,56,0.6207688286344942,426,535
